bioguide,name,chamber,state,district,party,agree_pct,biden_margin
D000399,Lloyd Doggett,house,,TX-37,Democrat,94.4%,52.8
D000530,Chris Deluzio,house,,PA-17,Democrat,92.6%,5.8
D000563,Dick Durbin,senate,IL,,Democrat,100.0%,16.9
D000594,Monica De La Cruz,house,,TX-15,Republican,5.8%,-2.9
D000600,Mario Diaz-Balart,house,,FL-26,Republican,5.6%,-18.3
D000615,Jeff Duncan,house,,SC-3,Republican,3.8%,-37.5
D000616,Scott DesJarlais,house,,TN-4,Republican,3.7%,-37.7
D000617,Suzan DelBene,house,,WA-1,Democrat,98.1%,30.6
D000618,Steve Daines,senate,MT,,Republican,12.2%,-16.3
D000622,Tammy Duckworth,senate,IL,,Democrat,100.0%,16.9
D000623,Mark DeSaulnier,house,,CA-10,Democrat,92.3%,39.4
D000624,Debbie Dingell,house,,MI-6,Democrat,96.2%,26.7
D000626,Warren Davidson,house,,OH-8,Republican,3.7%,-22.0
D000628,Neal Dunn,house,,FL-2,Republican,5.5%,-11.0
D000629,Sharice Davids,house,,KS-3,Democrat,90.7%,4.5
D000631,Madeleine Dean,house,,PA-4,Democrat,98.1%,18.9
D000632,Anthony D'Esposito,house,,NY-4,Republican,9.6%,14.5
D000633,John Duarte,house,,CA-13,Republican,7.4%,10.9
E000071,Jake Ellzey,house,,TX-6,Republican,5.5%,-24.0
E000215,Anna Eshoo,house,,CA-16,Democrat,96.2%,53.0
E000235,Mike Ezell,house,,MS-4,Republican,5.5%,-38.0
E000246,Chuck Edwards,house,,NC-11,Republican,5.6%,-10.2
E000294,Tom Emmer,house,,MN-6,Republican,5.5%,-17.6
E000295,Joni Ernst,senate,IA,,Republican,15.0%,-8.2
E000296,Dwight Evans,house,,PA-3,Democrat,96.2%,80.9
E000297,Adriano Espaillat,house,,NY-13,Democrat,92.6%,77.0
E000298,Ron Estes,house,,KS-4,Republican,3.7%,-21.7
E000299,Veronica Escobar,house,,TX-16,Democrat,96.1%,35.4
F000246,Pat Fallon,house,,TX-4,Republican,3.7%,-26.0
F000446,Randy Feenstra,house,,IA-4,Republican,5.5%,-26.0
F000450,Virginia Foxx,house,,NC-5,Republican,5.5%,-21.3
F000454,Bill Foster,house,,IL-11,Democrat,98.1%,15.3
F000459,Chuck Fleischmann,house,,TN-3,Republican,5.5%,-31.9
F000462,Lois Frankel,house,,FL-22,Democrat,94.4%,17.6
F000463,Deb Fischer,senate,NE,,Republican,12.5%,-19.0
F000465,Drew Ferguson,house,,GA-3,Republican,5.5%,-30.1
F000466,Brian Fitzpatrick,house,,PA-1,Republican,22.2%,4.6
F000468,Lizzie Fletcher,house,,TX-7,Democrat,92.3%,29.7
F000469,Russ Fulcher,house,,ID-1,Republican,3.7%,-38.2
F000470,Michelle Fischbach,house,,MN-7,Republican,1.8%,-33.2
F000471,Scott Fitzgerald,house,,WI-5,Republican,5.5%,-22.9
F000472,Scott Franklin,house,,FL-18,Republican,5.5%,-22.8
F000474,Mike Flood,house,,NE-1,Republican,5.5%,-11.1
F000475,Brad Finstad,house,,MN-1,Republican,1.9%,-9.2
F000476,Maxwell Frost,house,,FL-10,Democrat,96.3%,31.8
F000477,Valerie Foushee,house,,NC-4,Democrat,96.3%,35.1
F000478,Russell Fry,house,,SC-7,Republican,1.8%,-18.7
F000479,John Fetterman,senate,PA,,Democrat,97.3%,1.2
G000061,Mike Garcia,house,,CA-27,Republican,3.7%,12.4
G000359,Lindsay Graham,senate,SC,,Republican,56.5%,-11.6
G000377,Kay Granger,house,,TX-12,Republican,5.7%,-18.1
G000386,Chuck Grassley,senate,IA,,Republican,29.3%,-8.2
G000546,Garret Graves,house,,MO-6,Republican,7.4%,-30.4
G000551,Raúl Grijalva,house,,AZ-7,Democrat,96.3%,32.8
G000553,Al Green,house,,TX-9,Democrat,96.3%,53.4
G000555,Kirsten Gillibrand,senate,NY,,Democrat,100.0%,23.0
G000558,Brett Guthrie,house,,KY-2,Republican,5.5%,-36.7
G000559,John Garamendi,house,,CA-8,Democrat,94.4%,54.0
G000565,Paul Gosar,house,,AZ-9,Republican,3.7%,-25.8
G000568,Morgan Griffith,house,,VA-9,Republican,1.9%,-41.9
G000574,Ruben Gallego,house,,AZ-3,Democrat,97.9%,50.6
G000576,Glenn Grothman,house,,WI-6,Republican,5.5%,-15.7
G000577,Sam Graves,house,,LA-6,Republican,1.8%,-37.1
G000578,Matt Gaetz,house,,FL-1,Republican,9.2%,-32.3
G000579,Mike Gallagher,house,,WI-8,Republican,5.5%,-15.5
G000581,Vicente Gonzalez,house,,TX-34,Democrat,75.0%,15.5
G000583,Josh Gottheimer,house,,NJ-5,Democrat,86.0%,12.4
G000585,Jimmy Gomez,house,,CA-34,Democrat,94.4%,64.2
G000586,Chuy García,house,,IL-4,Democrat,91.1%,46.4
G000587,Sylvia Garcia,house,,TX-29,Democrat,94.2%,36.7
G000589,Lance Gooden,house,,TX-5,Republican,3.7%,-22.4
G000590,Mark Green,house,,TN-7,Republican,3.7%,-15.1
G000591,Michael Guest,house,,MS-3,Republican,3.7%,-24.3
G000592,Jared Golden,house,,ME-2,Democrat,33.9%,-6.1
G000593,Carlos Giménez,house,,FL-28,Republican,5.6%,-6.3
G000594,Tony Gonzales,house,,TX-23,Republican,3.9%,-7.2
G000595,Bob Good,house,,VA-5,Republican,3.7%,-8.3
G000596,Marjorie Taylor Greene,house,,GA-14,Republican,11.3%,-37.4
G000597,Andrew Garbarino,house,,NY-2,Republican,9.6%,-1.5
G000598,Robert Garcia,house,,CA-42,Democrat,94.3%,45.8
G000599,Dan Goldman,house,,NY-10,Democrat,94.1%,71.2
G000600,Marie Gluesenkamp Perez,house,,WA-3,Democrat,53.7%,-4.2
H000273,John Hickenlooper,senate,CO,,Democrat,98.6%,13.5
H000601,Bill Hagerty,senate,TN,,Republican,13.2%,-23.2
H000874,Steny Hoyer,house,,MD-5,Democrat,96.0%,36.5
H001038,Brian Higgins,house,,NY-26,Democrat,94.3%,23.4
H001042,Mazie Hirono,senate,HI,,Democrat,99.3%,29.4
H001046,Martin Heinrich,senate,NM,,Democrat,100.0%,10.7
H001047,Jim Himes,house,,CT-4,Democrat,96.3%,31.0
H001052,Andy Harris,house,,MD-1,Republican,1.8%,-14.5
H001058,Bill Huizenga,house,,MI-4,Republican,5.5%,-3.9
H001061,John Hoeven,senate,ND,,Republican,15.0%,-33.3
H001066,Steven Horsford,house,,NV-4,Democrat,92.3%,8.3
H001067,Richard Hudson,house,,NC-9,Republican,5.5%,-8.0
H001068,Jared Huffman,house,,CA-2,Democrat,94.0%,49.5
H001072,French Hill,house,,AR-2,Republican,5.5%,-13.1
H001076,Maggie Hassan,senate,NH,,Democrat,99.3%,7.4
H001077,Clay Higgins,house,,LA-3,Republican,3.7%,-37.6
H001079,Cindy Hyde-Smith,senate,MS,,Republican,12.9%,-16.5
H001081,Jahana Hayes,house,,CT-5,Democrat,92.6%,10.7
H001082,Kevin Hern,house,,OK-1,Republican,1.8%,-21.4
H001085,Chrissy Houlahan,house,,PA-6,Democrat,94.3%,14.7
H001086,Diana Harshbarger,house,,TN-1,Republican,1.8%,-54.2
H001089,Josh Hawley,senate,MO,,Republican,6.5%,-15.3
H001090,Josh Harder,house,,CA-9,Democrat,87.0%,12.6
H001091,Ashley Hinson,house,,IA-2,Republican,5.5%,-4.4
H001093,Erin Houchin,house,,IN-9,Republican,5.5%,-27.3
H001094,Val Hoyle,house,,OR-4,Democrat,92.5%,12.7
H001095,Wesley Hunt,house,,TX-38,Republican,4.1%,-18.1
H001096,Harriet Hageman,house,,WY-AL,Republican,1.8%,-43.7
I000056,Darrell Issa,house,,CA-48,Republican,5.6%,-12.3
I000058,Glenn Ivey,house,,MD-4,Democrat,96.2%,81.0
J000032,Sheila Jackson Lee,house,,TX-18,Democrat,97.7%,48.6
J000288,Hank Johnson,house,,GA-4,Democrat,96.2%,57.7
J000289,Jim Jordan,house,,OH-4,Republican,3.7%,-35.7
J000292,Bill Johnson,house,,OH-6,Republican,5.7%,-28.7
J000293,Ron Johnson,senate,WI,,Republican,7.9%,0.6
J000294,Hakeem Jeffries,house,,NY-8,Democrat,96.3%,53.2
J000295,David Joyce,house,,OH-14,Republican,9.6%,-14.9
J000298,Pramila Jayapal,house,,WA-7,Democrat,92.6%,75.5
J000299,Mike Johnson,house,,LA-4,Republican,6.1%,-24.1
J000301,Dusty Johnson,house,,SD-AL,Republican,5.5%,-26.2
J000302,John Joyce,house,,PA-13,Republican,0.0%,-45.2
J000304,Ronny Jackson,house,,TX-13,Republican,5.5%,-45.5
J000305,Sara Jacobs,house,,CA-51,Democrat,96.2%,27.3
J000307,John James,house,,MI-10,Republican,5.5%,-1.0
J000308,Jeff Jackson,house,,NC-14,Democrat,90.7%,16.4
J000309,Jonathan Jackson,house,,IL-1,Democrat,94.3%,42.4
K000009,Marcy Kaptur,house,,OH-9,Democrat,87.0%,-2.9
K000367,Amy Klobuchar,senate,MN,,Democrat,98.6%,7.1
K000375,Bill Keating,house,,MA-9,Democrat,98.1%,18.2
K000376,Mike Kelly,house,,PA-16,Republican,6.3%,-20.6
K000377,Mark Kelly,senate,AZ,,Democrat,99.3%,0.3
K000380,Dan Kildee,house,,MI-8,Democrat,92.2%,2.0
K000381,Derek Kilmer,house,,WA-6,Democrat,94.2%,17.2
K000382,Annie Kuster,house,,NH-2,Democrat,96.0%,8.8
K000383,Angus King,senate,ME,,Independent,97.9%,9.1
K000384,Tim Kaine,senate,VA,,Democrat,100.0%,10.1
K000385,Robin Kelly,house,,IL-2,Democrat,96.1%,40.0
K000388,Trent Kelly,house,,MS-1,Republican,5.5%,-31.7
K000389,Ro Khanna,house,,CA-17,Democrat,88.9%,47.4
K000391,Raja Krishnamoorthi,house,,IL-8,Democrat,96.3%,15.4
K000392,David Kustoff,house,,TN-8,Republican,5.7%,-37.3
K000393,John Kennedy,senate,LA,,Republican,24.8%,-18.6
K000394,Andy Kim,house,,NJ-3,Democrat,98.1%,14.0
K000397,Young Kim,house,,CA-40,Republican,5.5%,1.9
K000398,Tom Kean Jr.,house,,NJ-7,Republican,7.4%,3.9
K000399,Jen Kiggans,house,,VA-2,Republican,3.8%,1.9
K000400,Sydney Kamlager-Dove,house,,CA-37,Democrat,94.2%,73.3
K000401,Kevin Kiley,house,,CA-3,Republican,5.5%,-1.8
L000266,Jake LaTurner,house,,KS-2,Republican,5.5%,-16.3
L000273,Teresa Leger Fernandez,house,,NM-3,Democrat,94.0%,10.8
L000397,Zoe Lofgren,house,,CA-18,Democrat,94.1%,44.1
L000491,Frank Lucas,house,,OK-3,Republican,5.8%,-44.6
L000551,Barbara Lee,house,,CA-12,Democrat,91.8%,80.7
L000557,John Larson,house,,CT-1,Democrat,96.1%,28.1
L000560,Rick Larsen,house,,WA-2,Democrat,96.3%,22.9
L000562,Stephen Lynch,house,,MA-8,Democrat,98.1%,35.5
L000564,Doug Lamborn,house,,CO-5,Republican,5.6%,-10.1
L000566,Bob Latta,house,,OH-5,Republican,5.5%,-26.8
L000569,Blaine Luetkemeyer,house,,MO-3,Republican,5.6%,-26.3
L000570,Ben Ray Luján,senate,NM,,Democrat,100.0%,10.7
L000571,Cynthia Lummis,senate,WY,,Republican,9.4%,-43.3
L000575,James Lankford,senate,OK,,Republican,12.4%,-33.0
L000577,Mike Lee,senate,UT,,Republican,5.9%,-20.2
L000578,Doug LaMalfa,house,,CA-1,Republican,3.7%,-19.1
L000582,Ted Lieu,house,,CA-36,Democrat,98.1%,44.1
L000583,Barry Loudermilk,house,,GA-11,Republican,5.7%,-15.3
L000585,Darin LaHood,house,,IL-16,Republican,3.8%,-21.5
L000589,Debbie Lesko,house,,AZ-8,Republican,1.9%,-13.5
L000590,Susie Lee,house,,NV-3,Democrat,76.9%,6.6
L000593,Mike Levin,house,,CA-49,Democrat,98.1%,11.4
L000595,Julia Letlow,house,,LA-5,Republican,5.5%,-29.7
